student_key,id_student,code_module,code_presentation,gender,region,imd_band_imputed,age_band,disability,gender_encoded,age_band_encoded,disability_encoded,education_encoded,imd_band_encoded,num_of_prev_attempts,studied_credits,n_assessments_submitted,avg_score,min_score,max_score,avg_days_early,std_score,submission_rate,at_risk
AAA_2013J_11391,11391,AAA,2013J,M,East Anglian Region,90-100%,55<=,N,1,2,0,3,9,0,240,2.0,81.5,78.0,85.0,1.0,4.949747468305833,1.0,0
AAA_2013J_28400,28400,AAA,2013J,F,Scotland,20-30%,35-55,N,0,1,0,3,2,0,60,2.0,69.0,68.0,70.0,-0.5,1.4142135623730951,1.0,0
AAA_2013J_30268,30268,AAA,2013J,F,North Western Region,30-40%,35-55,Y,0,1,1,2,3,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA_2013J_31604,31604,AAA,2013J,F,South East Region,50-60%,35-55,N,0,1,0,2,5,0,60,2.0,71.5,71.0,72.0,2.5,0.7071067811865476,1.0,0
AAA_2013J_32885,32885,AAA,2013J,F,West Midlands Region,50-60%,0-35,N,0,0,0,1,5,0,60,2.0,49.5,30.0,69.0,-14.0,27.577164466275352,1.0,0
AAA_2013J_38053,38053,AAA,2013J,M,Wales,80-90%,35-55,N,1,1,0,2,8,0,60,2.0,74.0,69.0,79.0,-5.0,7.0710678118654755,1.0,0
AAA_2013J_45462,45462,AAA,2013J,M,Scotland,30-40%,0-35,N,1,0,0,3,3,0,60,2.0,67.5,65.0,70.0,-0.5,3.5355339059327378,1.0,0
AAA_2013J_45642,45642,AAA,2013J,F,North Western Region,90-100%,0-35,N,0,0,0,2,9,0,120,2.0,72.0,72.0,72.0,-1.0,0.0,1.0,0
AAA_2013J_52130,52130,AAA,2013J,F,East Anglian Region,70-80%,0-35,N,0,0,0,2,7,0,90,2.0,70.0,68.0,72.0,0.0,2.8284271247461903,1.0,0
AAA_2013J_53025,53025,AAA,2013J,M,North Region,10-20,55<=,N,1,2,0,4,1,0,60,2.0,75.5,71.0,80.0,6.0,6.363961030678928,1.0,0
AAA_2013J_57506,57506,AAA,2013J,M,South Region,70-80%,35-55,N,1,1,0,1,7,0,60,2.0,72.0,68.0,76.0,1.0,5.656854249492381,1.0,0
AAA_2013J_58873,58873,AAA,2013J,F,East Anglian Region,20-30%,0-35,N,0,0,0,2,2,0,60,2.0,73.5,73.0,74.0,0.0,0.7071067811865476,1.0,0
AAA_2013J_59185,59185,AAA,2013J,M,East Anglian Region,60-70%,35-55,N,1,1,0,1,6,0,60,2.0,69.0,67.0,71.0,1.0,2.8284271247461903,1.0,0
AAA_2013J_62155,62155,AAA,2013J,F,North Western Region,50-60%,0-35,N,0,0,0,3,5,0,60,2.0,79.0,73.0,85.0,3.0,8.48528137423857,1.0,0
AAA_2013J_63400,63400,AAA,2013J,M,Scotland,40-50%,35-55,N,1,1,0,1,4,0,60,2.0,62.5,42.0,83.0,0.0,28.991378028648448,1.0,0
AAA_2013J_65002,65002,AAA,2013J,F,East Anglian Region,70-80%,0-35,N,0,0,0,2,7,0,60,2.0,67.0,66.0,68.0,2.5,1.4142135623730951,1.0,1
AAA_2013J_70464,70464,AAA,2013J,F,West Midlands Region,60-70%,35-55,N,0,1,0,2,6,0,60,2.0,59.5,59.0,60.0,1.0,0.7071067811865476,1.0,0
AAA_2013J_71361,71361,AAA,2013J,M,Ireland,0-10%,35-55,N,1,1,0,3,0,0,60,2.0,84.0,82.0,86.0,0.5,2.8284271247461903,1.0,0
AAA_2013J_74372,74372,AAA,2013J,M,East Anglian Region,10-20,35-55,N,1,1,0,2,1,0,150,2.0,39.0,18.0,60.0,-1.5,29.698484809834994,1.0,1
AAA_2013J_75091,75091,AAA,2013J,M,South West Region,30-40%,35-55,N,1,1,0,2,3,0,60,2.0,66.5,66.0,67.0,1.5,0.7071067811865476,1.0,0
AAA_2013J_77367,77367,AAA,2013J,M,East Midlands Region,30-40%,0-35,N,1,0,0,2,3,0,60,2.0,74.5,73.0,76.0,0.5,2.1213203435596424,1.0,0
AAA_2013J_91265,91265,AAA,2013J,M,North Western Region,0-10%,0-35,N,1,0,0,3,0,0,60,2.0,74.5,74.0,75.0,-6.0,0.7071067811865476,1.0,0
AAA_2013J_94961,94961,AAA,2013J,M,South Region,70-80%,35-55,N,1,1,0,1,7,0,60,1.0,74.0,74.0,74.0,2.0,0.0,0.5,1
AAA_2013J_98094,98094,AAA,2013J,M,Wales,70-80%,35-55,N,1,1,0,1,7,0,60,2.0,60.5,59.0,62.0,3.0,2.1213203435596424,1.0,0
AAA_2013J_100893,100893,AAA,2013J,M,Yorkshire Region,20-30%,0-35,N,1,0,0,2,2,0,60,2.0,65.5,63.0,68.0,3.0,3.5355339059327378,1.0,0
AAA_2013J_101781,101781,AAA,2013J,M,South Region,80-90%,35-55,N,1,1,0,1,8,0,60,2.0,74.0,64.0,84.0,2.5,14.142135623730951,1.0,0
AAA_2013J_102806,102806,AAA,2013J,M,North Western Region,30-40%,0-35,N,1,0,0,2,3,0,60,2.0,83.0,80.0,86.0,0.0,4.242640687119285,1.0,0
